policy_id,roarmap_field,if_field_equals,then,human_rationale
,,,,
1,journal_article_version,author_final,compliant,
1,journal_article_version,not_specified,uncertain,
1,journal_article_version,other,not_compliant,
1,journal_article_version,published,compliant,
,,,,
2.1,journal_article_version,author_final,compliant,
2.1,journal_article_version,not_specified,not_compliant,
2.1,journal_article_version,other,not_compliant,
2.1,journal_article_version,published,compliant,
,,,,
2.2,locus_of_deposit,any_repo,compliant,
2.2,locus_of_deposit,institution_repo,compliant,
2.2,locus_of_deposit,not_specified,uncertain,
2.2,locus_of_deposit,suject_repo,compliant,
,,,,
3,mandate_content_types,book,irrelevant,
3,mandate_content_types,book_section,irrelevant,
3,mandate_content_types,data,compliant,
3,mandate_content_types,etd,irrelevant,
3,mandate_content_types,manuscript,compliant,
3,mandate_content_types,not_specified,irrelevant,
3,mandate_content_types,other,irrelevant,
,,,,
4.1,date_of_deposit,acceptance,compliant,
4.1,date_of_deposit,embarg,uncertain,
4.1,date_of_deposit,not_specified,uncertain,
4.1,date_of_deposit,other,uncertain,
4.1,date_of_deposit,pub_permit,not_compliant,
4.1,date_of_deposit,publication,compliant,
,,,,
4.2,date_made_open,acceptance,compliant,
4.2,date_made_open,embargo,uncertain,
4.2,date_made_open,not_mentioned,uncertain,
4.2,date_made_open,on_deposit,uncertain,
4.2,date_made_open,other,uncertain,
4.2,date_made_open,pub_permit,not_compliant,
4.2,date_made_open,publication,compliant,
,,,,
4.3,embargo_sci_tech_med,0m,compliant,
4.3,embargo_sci_tech_med,12m,not_compliant,
4.3,embargo_sci_tech_med,24m,not_compliant,
4.3,embargo_sci_tech_med,6m,compliant,
4.3,embargo_sci_tech_med,longer,not_compliant,
4.3,embargo_sci_tech_med,not_specified,uncertain,
,,,,
4.4,embargo_hum_soc,0m,compliant,
4.4,embargo_hum_soc,12m,compliant,
4.4,embargo_hum_soc,24m,not_compliant,
4.4,embargo_hum_soc,6m,compliant,
4.4,embargo_hum_soc,longer,not_compliant,
4.4,embargo_hum_soc,not_specified,uncertain,
,,,,
4.5,maximal_embargo_waivable,no,compliant,
4.5,maximal_embargo_waivable,not_applicable,compliant,
4.5,maximal_embargo_waivable,not_specified,uncertain,
4.5,maximal_embargo_waivable,yes,not_compliant,
,,,,
5,-,-,-,
6,-,-,-,
,,,,
7,mandate_content_types,book,irrelevant,
7,mandate_content_types,book_section,irrelevant,
7,mandate_content_types,data,compliant,
7,mandate_content_types,etd,irrelevant,
7,mandate_content_types,manuscript,irrelevant,
7,mandate_content_types,not_specified,irrelevant,
7,mandate_content_types,other,irrelevant,
,,,,
8,-,-,-,
,,,,
9,can_deposit_be_waived,no,irrelevant,
9,can_deposit_be_waived,not_applicable,irrelevant,
9,can_deposit_be_waived,not_specified,irrelevant,
9,can_deposit_be_waived,yes,compliant,
,,,,
10,making_deposit_open,not_mentioned,not_compliant,
10,making_deposit_open,other,not_compliant,
10,making_deposit_open,recommended,compliant,
10,making_deposit_open,required,compliant,
,,,,
11,open_licensing_conditions,no_req,not_compliant,
11,open_licensing_conditions,not_specified,not_compliant,
11,open_licensing_conditions,other,uncertain,
11,open_licensing_conditions,req_cc_by,compliant,
11,open_licensing_conditions,req_cc_by_nc,uncertain,
11,open_licensing_conditions,req_diff_open,uncertain,
11,open_licensing_conditions,req_open,uncertain,
,,,,
12,gold_oa_options,not_specified,uncertain,
12,gold_oa_options,other,uncertain,
12,gold_oa_options,permitted,compliant,
12,gold_oa_options,reccomended,compliant,
12,gold_oa_options,reqired,compliant,
